orgao;sigla;tipo;vinculacao;responsavel_legal;endereco;telefone;e_mail;horario_atendimento;competencias;site_orgao
Corpo de Bombeiros Militar de Minas Gerais;CBMMG;Órgão Autônomo;-;Coronel Jordana de Oliveira Filgueiras Daldegan;5º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31)3915-7525;dai.secretaria@bombeiros.mg.gov.br;08:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/40875/2000/;https://www.bombeiros.mg.gov.br/
Polícia Civil do Estado de Minas Gerais;PCMG;Órgão Autônomo;-;Letícia Baptista Gamboge Reis;4º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31)3915-7392;https://www.policiacivil.mg.gov.br/pagina/fale-conosco;08:00 às 18:00;https://www.almg.gov.br/legislacao-mineira/DEC/43852/2004/;https://www.policiacivil.mg.gov.br/
Universidade Estadual de Montes Claros;UNIMONTES;Autarquia;SEE;Wagner de Paulo Santiago;Avenida Rui Braga, S/Nº, Campus Universitário, Vila Mauricéia, Montes Claros, 39401-089;(38)3229-8101;secretaria.administracao@unimontes.br;08:00 às 19:00;https://www.almg.gov.br/legislacao-mineira/DEC/45799/2011/;http://www.unimontes.br
Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais;EMATER;Empresa Pública;SEAPA;Otávio Martins Maia;Avenida Raja Gabaglia, 1626, Gutierrez, Belo Horizonte, 30440-452;(31)3349-8000;marcelo.torres@emater.mg.gov.br;08:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47567/2018/;https://www.emater.mg.gov.br/
Junta Comercial do Estado de Minas Gerais;JUCEMG;Autarquia;SEDE;Patrícia Vinte di Iorio;Av. Augusto de Lima, 1942, Barro Preto, Belo Horizonte, 30190-008;(31)3069-6601;joao.sampaio@jucemg.mg.gov.br ;09:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47689/2019/;http://www.jucemg.mg.gov.br
Empresa Mineira de Comunicação;EMC;Empresa Pública;SECOM;Gustavo Mendicino de Oliveira;Rua Tenente Brito Melo, 1090, BL 01, 2º e 3º andares, Barro Preto, Belo Horizonte, 30180-074;(31)3298-3400;atendimento@redeminas.mg.gov.br;08:00 às 18:00;https://www.almg.gov.br/legislacao-mineira/DEC/47750/2019/;http://www.inconfidencia.com.br
Instituto de Desenvolvimento do Norte e Nordeste de Minas;IDENE;Autarquia;SEDESE;Henrique Oliveira Carvalho;8º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31)3915-5209;contato@idene.com.br;08:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47834/2020/;http://www.idene.mg.gov.br
Fundação Clóvis Salgado;FCS;Fundação Pública;SECULT;Sérgio Rodrigues Reis;Avenida Afonso Pena, 1537, Centro, Belo Horizonte, 30130-004;(31)3236-7400;mediacao@fcs.mg.gov.br;09:00 às 22:00;https://www.almg.gov.br/legislacao-mineira/DEC/47853/2020/;https://fcs.mg.gov.br/
Instituto Mineiro de Agropecuária;IMA;Autarquia;SEAPA;Luiza Moreira Arantes de Castro;10º andar do Edificio Gerais - Cidade Administrativa, Belo Horizonte;(31)3915-8682;ima@ima.mg.gov.br;08:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47859/2020/;https://www.ima.mg.gov.br/
Instituto Mineiro de Gestão das Águas ;IGAM;Autarquia;SEMAD;Marcelo da Fonseca;1º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31)3915-1752;gabinete.igam@meioambiente.mg.gov.br;08:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47866/2020/;http://www.igam.mg.gov.br
Fundação de Educação para o Trabalho de Minas Gerais;UTRAMIG;Fundação Pública;SEDESE;Gleison Cunha Soares;Avenida Afonso Pena, 3400, Cruzeiro, Belo Horizonte, 30130-009;(31)3263-7500;faleconosco@utramig.mg.gov.br;08:00 às 20:00;https://www.almg.gov.br/legislacao-mineira/DEC/47876/2020/;http://www.utramig.mg.gov.br
Fundação João Pinheiro;FJP;Fundação Pública;SEPLAG;Luciana Lopes Nominato Braga;Alameda das Acácias, 70, Campus Pampulha, São Luiz, Belo Horizonte, 31275-150;(31)3448-9400;comunicacao@fjp.mg.gov.br;07:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47877/2020/;http://www.fjp.mg.gov.br
Fundação Educacional Caio Martins;FUCAM;Fundação Pública;SEE;Frederico Correa Lima de Carvalho;14º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31)3916-7819;comunicacao@edu.fucam.mg.gov.br;09:00 às 17:00;https://www.almg.gov.br/legislacao-mineira/DEC/47880/2020/;https://fucam.mg.gov.br/ 
